sampleName,fileName,Row,Rootstock,Irrigation,Phenology,Tissue,Block
A1Y1_162_R,A1Y1_162_R.counts,10,3309C,full,harvest,Reproductive,A
A1Y1_163_L,A1Y1_163_L.counts,10,SO4,full,harvest,Leaf,A
A1Y1_163_R,A1Y1_163_R.counts,10,SO4,full,harvest,Reproductive,A
A1Y1_164_L,A1Y1_164_L.counts,10,SO4,full,harvest,Leaf,A
A1Y1_164_R,A1Y1_164_R.counts,10,SO4,full,harvest,Reproductive,A
A1Y1_165_L,A1Y1_165_L.counts,10,Own,full,harvest,Leaf,A
A1Y1_165_R,A1Y1_165_R.counts,10,Own,full,harvest,Reproductive,A
A1Y1_166_L,A1Y1_166_L.counts,10,Own,full,harvest,Leaf,A
A1Y1_166_R,A1Y1_166_R.counts,10,Own,full,harvest,Reproductive,A
A1Y1_167_L,A1Y1_167_L.counts,10,1103P,full,harvest,Leaf,A
A1Y1_167_R,A1Y1_167_R.counts,10,1103P,full,harvest,Reproductive,A
A1Y1_168_L,A1Y1_168_L.counts,10,1103P,full,harvest,Leaf,A
A1Y1_168_R,A1Y1_168_R.counts,10,1103P,full,harvest,Reproductive,A
A1Y1_169_L,A1Y1_169_L.counts,11,3309C,RDI,harvest,Leaf,B
A1Y1_169_R,A1Y1_169_R.counts,11,3309C,RDI,harvest,Reproductive,B
A1Y1_170_L,A1Y1_170_L.counts,11,3309C,RDI,harvest,Leaf,B
A1Y1_170_R,A1Y1_170_R.counts,11,3309C,RDI,harvest,Reproductive,B
A1Y1_171_L,A1Y1_171_L.counts,11,1103P,RDI,harvest,Leaf,B
A1Y1_171_R,A1Y1_171_R.counts,11,1103P,RDI,harvest,Reproductive,B
A1Y1_172_L,A1Y1_172_L.counts,11,1103P,RDI,harvest,Leaf,B
A1Y1_172_R,A1Y1_172_R.counts,11,1103P,RDI,harvest,Reproductive,B
A1Y1_173_L,A1Y1_173_L.counts,11,Own,RDI,harvest,Leaf,B
A1Y1_173_R,A1Y1_173_R.counts,11,Own,RDI,harvest,Reproductive,B
A1Y1_174_L,A1Y1_174_L.counts,11,Own,RDI,harvest,Leaf,B
A1Y1_174_R,A1Y1_174_R.counts,11,Own,RDI,harvest,Reproductive,B
A1Y1_175_L,A1Y1_175_L.counts,11,SO4,RDI,harvest,Leaf,B
A1Y1_175_R,A1Y1_175_R.counts,11,SO4,RDI,harvest,Reproductive,B
A1Y1_176_L,A1Y1_176_L.counts,11,SO4,RDI,harvest,Leaf,B
A1Y1_176_R,A1Y1_176_R.counts,11,SO4,RDI,harvest,Reproductive,B
A1Y1_177_L,A1Y1_177_L.counts,12,1103P,full,harvest,Leaf,B
A1Y1_177_R,A1Y1_177_R.counts,12,1103P,full,harvest,Reproductive,B
A1Y1_178_L,A1Y1_178_L.counts,12,1103P,full,harvest,Leaf,B
A1Y1_178_R,A1Y1_178_R.counts,12,1103P,full,harvest,Reproductive,B
A1Y1_179_L,A1Y1_179_L.counts,12,Own,full,harvest,Leaf,B
A1Y1_179_R,A1Y1_179_R.counts,12,Own,full,harvest,Reproductive,B
A1Y1_180_L,A1Y1_180_L.counts,12,Own,full,harvest,Leaf,B
A1Y1_180_R,A1Y1_180_R.counts,12,Own,full,harvest,Reproductive,B
A1Y1_181_L,A1Y1_181_L.counts,12,SO4,full,harvest,Leaf,B
A1Y1_181_R,A1Y1_181_R.counts,12,SO4,full,harvest,Reproductive,B
A1Y1_182_L,A1Y1_182_L.counts,12,SO4,full,harvest,Leaf,B
A1Y1_182_R,A1Y1_182_R.counts,12,SO4,full,harvest,Reproductive,B
A1Y1_183_L,A1Y1_183_L.counts,12,3309C,full,harvest,Leaf,B
A1Y1_183_R,A1Y1_183_R.counts,12,3309C,full,harvest,Reproductive,B
A1Y1_184_L,A1Y1_184_L.counts,12,3309C,full,harvest,Leaf,B
A1Y1_184_R,A1Y1_184_R.counts,12,3309C,full,harvest,Reproductive,B
A1Y1_185_L,A1Y1_185_L.counts,13,SO4,none,harvest,Leaf,B
A1Y1_185_R,A1Y1_185_R.counts,13,SO4,none,harvest,Reproductive,B
A1Y1_186_L,A1Y1_186_L.counts,13,SO4,none,harvest,Leaf,B
A1Y1_186_R,A1Y1_186_R.counts,13,SO4,none,harvest,Reproductive,B
A1Y1_187_L,A1Y1_187_L.counts,13,3309C,none,harvest,Leaf,B
A1Y1_187_R,A1Y1_187_R.counts,13,3309C,none,harvest,Reproductive,B
A1Y1_188_L,A1Y1_188_L.counts,13,3309C,none,harvest,Leaf,B
A1Y1_188_R,A1Y1_188_R.counts,13,3309C,none,harvest,Reproductive,B
A1Y1_189_L,A1Y1_189_L.counts,13,1103P,none,harvest,Leaf,B
A1Y1_189_R,A1Y1_189_R.counts,13,1103P,none,harvest,Reproductive,B
A1Y1_190_L,A1Y1_190_L.counts,13,1103P,none,harvest,Leaf,B
A1Y1_190_R,A1Y1_190_R.counts,13,1103P,none,harvest,Reproductive,B
A1Y1_191_L,A1Y1_191_L.counts,13,Own,none,harvest,Leaf,B
A1Y1_191_R,A1Y1_191_R.counts,13,Own,none,harvest,Reproductive,B
A1Y1_192_L,A1Y1_192_L.counts,13,Own,none,harvest,Leaf,B
A1Y1_192_R,A1Y1_192_R.counts,13,Own,none,harvest,Reproductive,B
A1Y1_193_L,A1Y1_193_L.counts,14,3309C,RDI,harvest,Leaf,C
A1Y1_193_R,A1Y1_193_R.counts,14,3309C,RDI,harvest,Reproductive,C
A1Y1_194_L,A1Y1_194_L.counts,14,3309C,RDI,harvest,Leaf,C
A1Y1_194_R,A1Y1_194_R.counts,14,3309C,RDI,harvest,Reproductive,C
A1Y1_195_L,A1Y1_195_L.counts,14,SO4,RDI,harvest,Leaf,C
A1Y1_195_R,A1Y1_195_R.counts,14,SO4,RDI,harvest,Reproductive,C
A1Y1_196_L,A1Y1_196_L.counts,14,SO4,RDI,harvest,Leaf,C
A1Y1_196_R,A1Y1_196_R.counts,14,SO4,RDI,harvest,Reproductive,C
A1Y1_197_L,A1Y1_197_L.counts,14,Own,RDI,harvest,Leaf,C
A1Y1_197_R,A1Y1_197_R.counts,14,Own,RDI,harvest,Reproductive,C
A1Y1_198_L,A1Y1_198_L.counts,14,Own,RDI,harvest,Leaf,C
A1Y1_198_R,A1Y1_198_R.counts,14,Own,RDI,harvest,Reproductive,C
A1Y1_199_L,A1Y1_199_L.counts,14,1103P,RDI,harvest,Leaf,C
A1Y1_199_R,A1Y1_199_R.counts,14,1103P,RDI,harvest,Reproductive,C
A1Y1_200_L,A1Y1_200_L.counts,14,1103P,RDI,harvest,Leaf,C
A1Y1_200_R,A1Y1_200_R.counts,14,1103P,RDI,harvest,Reproductive,C
A1Y1_201_L,A1Y1_201_L.counts,15,Own,none,harvest,Leaf,C
A1Y1_201_R,A1Y1_201_R.counts,15,Own,none,harvest,Reproductive,C
A1Y1_202_L,A1Y1_202_L.counts,15,Own,none,harvest,Leaf,C
A1Y1_202_R,A1Y1_202_R.counts,15,Own,none,harvest,Reproductive,C
A1Y1_203_L,A1Y1_203_L.counts,15,3309C,none,harvest,Leaf,C
A1Y1_203_R,A1Y1_203_R.counts,15,3309C,none,harvest,Reproductive,C
A1Y1_204_L,A1Y1_204_L.counts,15,3309C,none,harvest,Leaf,C
A1Y1_204_R,A1Y1_204_R.counts,15,3309C,none,harvest,Reproductive,C
A1Y1_205_L,A1Y1_205_L.counts,15,1103P,none,harvest,Leaf,C
A1Y1_205_R,A1Y1_205_R.counts,15,1103P,none,harvest,Reproductive,C
A1Y1_206_L,A1Y1_206_L.counts,15,1103P,none,harvest,Leaf,C
A1Y1_206_R,A1Y1_206_R.counts,15,1103P,none,harvest,Reproductive,C
A1Y1_207_L,A1Y1_207_L.counts,15,SO4,none,harvest,Leaf,C
A1Y1_207_R,A1Y1_207_R.counts,15,SO4,none,harvest,Reproductive,C
A1Y1_208_L,A1Y1_208_L.counts,15,SO4,none,harvest,Leaf,C
A1Y1_208_R,A1Y1_208_R.counts,15,SO4,none,harvest,Reproductive,C
A1Y1_209_L,A1Y1_209_L.counts,16,1103P,full,harvest,Leaf,C
A1Y1_209_R,A1Y1_209_R.counts,16,1103P,full,harvest,Reproductive,C
A1Y1_210_L,A1Y1_210_L.counts,16,1103P,full,harvest,Leaf,C
A1Y1_210_R,A1Y1_210_R.counts,16,1103P,full,harvest,Reproductive,C
A1Y1_211_L,A1Y1_211_L.counts,16,Own,full,harvest,Leaf,C
A1Y1_211_R,A1Y1_211_R.counts,16,Own,full,harvest,Reproductive,C
A1Y1_212_L,A1Y1_212_L.counts,16,Own,full,harvest,Leaf,C
A1Y1_212_R,A1Y1_212_R.counts,16,Own,full,harvest,Reproductive,C
A1Y1_213_L,A1Y1_213_L.counts,16,SO4,full,harvest,Leaf,C
A1Y1_213_R,A1Y1_213_R.counts,16,SO4,full,harvest,Reproductive,C
A1Y1_214_L,A1Y1_214_L.counts,16,SO4,full,harvest,Leaf,C
A1Y1_214_R,A1Y1_214_R.counts,16,SO4,full,harvest,Reproductive,C
A1Y1_215_L,A1Y1_215_L.counts,16,3309C,full,harvest,Leaf,C
A1Y1_215_R,A1Y1_215_R.counts,16,3309C,full,harvest,Reproductive,C
A1Y1_216_L,A1Y1_216_L.counts,16,3309C,full,harvest,Leaf,C
A1Y1_216_R,A1Y1_216_R.counts,16,3309C,full,harvest,Reproductive,C
